,AAGE,ACLSWKR,ADTIND,ADTOCC,AHGA,AGI,*(pred),AHRSPAY,AHSCOL,AMARITL,AMJIND,AMJOCC,ARACE,AREORGN,ASEX,AUNMEM,AUNTYPE,AWKSTAT,CAPGAIN,CAPLOSS,DIVVAL,FEDTAX,GRINGREG,GRINST,HHDFMX,HHDREL,MARSUPWT,MIGMTR1,MIGMTR3,MIGMTR4,MIGSAME,MIGSUN,NOEMP,PARENT,FATHER,MOTHER,SELF,PRCITSHP,SEOTR,VETQVA,VETYN,WKSWORK,YEAR,INCOME
147135,38, Private,16,37, High school graduate,,550,, Not in universe, Widowed, Manufacturing-durable goods, Machine operators assmblrs & inspctrs, White, All other, Female, No, Not in universe, Full-time schedules,0,0,0, Nonfiler, Not in universe, Not in universe, Householder, Householder,607.6, ?, ?, ?, Not in universe under 1 year old, ?,3, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,95,0
157189,16, Not in universe,0,0, 9th grade,,0,, High school, Never married, Not in universe or children, Not in universe, White, All other, Female, Not in universe, Not in universe, Not in labor force,0,0,100, Nonfiler, Not in universe, Not in universe, Child <18 never marr not in subfamily, Child under 18 never married,1698.2, ?, ?, ?, Not in universe under 1 year old, ?,0, Both parents present, United-States, France, United-States, Native- Born in the United States,0, Not in universe,2,0,95,0
197674,46, Not in universe,0,0, High school graduate,,0,, Not in universe, Married-civilian spouse present, Not in universe or children, Not in universe, White, All other, Female, Not in universe, Not in universe, Not in labor force,0,0,0, Joint both under 65, Not in universe, Not in universe, Spouse of householder, Spouse of householder,1596.15, ?, ?, ?, Not in universe under 1 year old, ?,0, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,0,95,0
85774,24, Private,2,44, Some college but no degree,,0,, Not in universe, Never married, Agriculture, Farming forestry and fishing, White, All other, Male, No, Not in universe, Full-time schedules,0,0,0, Single, Not in universe, Not in universe, Nonfamily householder, Householder,324.49, ?, ?, ?, Not in universe under 1 year old, ?,1, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,95,0
74042,2, Not in universe,0,0, Children,,0,, Not in universe, Never married, Not in universe or children, Not in universe, White, All other, Male, Not in universe, Not in universe, Children or Armed Forces,0,0,0, Nonfiler, Not in universe, Not in universe, Child <18 never marr not in subfamily, Child under 18 never married,2140.84, ?, ?, ?, Not in universe under 1 year old, ?,0, Father only present, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,0,0,95,0
47409,21, Federal government,50,23, High school graduate,,800,, Not in universe, Never married, Public administration, Adm support including clerical, White, All other, Female, No, Not in universe, Full-time schedules,0,0,0, Single, Not in universe, Not in universe, Child 18+ never marr Not in a subfamily, Child 18 or older,1101.16, ?, ?, ?, Not in universe under 1 year old, ?,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,95,0
114046,59, Private,19,33, Some college but no degree,,0,, Not in universe, Married-civilian spouse present, Manufacturing-nondurable goods, Precision production craft & repair, White, All other, Male, Not in universe, Not in universe, Full-time schedules,0,0,0, Joint both under 65, Not in universe, Not in universe, Householder, Householder,3536.16, ?, ?, ?, Not in universe under 1 year old, ?,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,95,0
170118,43, Private,36,31, High school graduate,,0,, Not in universe, Divorced, Private household services, Other service, White, All other, Male, Not in universe, Not in universe, Full-time schedules,0,0,0, Single, Not in universe, Not in universe, Nonfamily householder, Householder,3360, ?, ?, ?, Not in universe under 1 year old, ?,1, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,95,0
10105,0, Not in universe,0,0, Children,,0,, Not in universe, Never married, Not in universe or children, Not in universe, White, All other, Female, Not in universe, Not in universe, Children or Armed Forces,0,0,0, Nonfiler, Not in universe, Not in universe, Other Rel <18 never marr child of subfamily RP, Other relative of householder,1706.01, ?, ?, ?, Not in universe under 1 year old, ?,0, Mother only present, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,0,0,95,0
132951,57, Local government,43,10, Masters degree(MA MS MEng MEd MSW MBA),,0,, Not in universe, Married-civilian spouse present, Education, Professional specialty, Black, All other, Female, Yes, Not in universe, PT for econ reasons usually PT,0,0,0, Joint both under 65, Not in universe, Not in universe, Spouse of householder, Spouse of householder,2266.19, ?, ?, ?, Not in universe under 1 year old, ?,5, Not in universe, Mexico, United-States, United-States, Native- Born in the United States,0, Not in universe,2,36,95,0
94262,37, Not in universe,0,0, Some college but no degree,,0,, Not in universe, Married-civilian spouse present, Not in universe or children, Not in universe, White, All other, Female, Not in universe, Not in universe, Not in labor force,0,0,0, Joint both under 65, Not in universe, Not in universe, Spouse of householder, Spouse of householder,1256.6, ?, ?, ?, Not in universe under 1 year old, ?,0, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,0,95,0
57017,60, Not in universe,0,0, Bachelors degree(BA AB BS),,0,, Not in universe, Married-civilian spouse present, Not in universe or children, Not in universe, White, All other, Male, Not in universe, Not in universe, Not in labor force,0,0,12500, Joint both under 65, Not in universe, Not in universe, Householder, Householder,4916.68, ?, ?, ?, Not in universe under 1 year old, ?,0, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,0,95,1
113280,21, Private,33,29, Some college but no degree,,0,, Not in universe, Never married, Retail trade, Other service, White, All other, Female, Not in universe, Not in universe, Full-time schedules,0,0,0, Single, Not in universe, Not in universe, Child 18+ never marr Not in a subfamily, Child 18 or older,1912.62, ?, ?, ?, Not in universe under 1 year old, ?,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,49,95,0
167754,3, Not in universe,0,0, Children,,0,, Not in universe, Never married, Not in universe or children, Not in universe, Asian or Pacific Islander, All other, Female, Not in universe, Not in universe, Children or Armed Forces,0,0,0, Nonfiler, Not in universe, Not in universe, Child <18 never marr not in subfamily, Child under 18 never married,1667.78, ?, ?, ?, Not in universe under 1 year old, ?,0, Both parents present, United-States, Japan, Japan, Native- Born abroad of American Parent(s),0, Not in universe,0,0,95,0
114495,14, Not in universe,0,0, Children,,0,, Not in universe, Never married, Not in universe or children, Not in universe, White, All other, Male, Not in universe, Not in universe, Children or Armed Forces,0,0,0, Nonfiler, Not in universe, Not in universe, Child <18 never marr not in subfamily, Child under 18 never married,1625.1, ?, ?, ?, Not in universe under 1 year old, ?,0, Both parents present, Mexico, United-States, United-States, Native- Born in the United States,0, Not in universe,0,0,95,0
117960,62, Private,39,2, Bachelors degree(BA AB BS),,0,, Not in universe, Divorced, Personal services except private HH, Executive admin and managerial, White, All other, Male, Not in universe, Other job loser, Unemployed full-time,0,0,0, Single, Not in universe, Not in universe, Nonfamily householder, Householder,2016.63, ?, ?, ?, Not in universe under 1 year old, ?,4, Not in universe, Holand-Netherlands, Holand-Netherlands, Holand-Netherlands, Foreign born- Not a citizen of U S ,0, Not in universe,2,45,95,0
141701,44, Private,33,16, High school graduate,,0,, Not in universe, Married-civilian spouse present, Retail trade, Sales, White, All other, Female, Not in universe, Not in universe, Full-time schedules,0,0,0, Joint both under 65, Not in universe, Not in universe, Householder, Householder,464.22, ?, ?, ?, Not in universe under 1 year old, ?,3, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,95,0
181351,12, Not in universe,0,0, Children,,0,, Not in universe, Never married, Not in universe or children, Not in universe, White, Puerto Rican, Male, Not in universe, Not in universe, Children or Armed Forces,0,0,0, Nonfiler, Not in universe, Not in universe, Child <18 never marr not in subfamily, Child under 18 never married,864.76, ?, ?, ?, Not in universe under 1 year old, ?,0, Father only present, Puerto-Rico, Puerto-Rico, United-States, Native- Born in the United States,0, Not in universe,0,0,95,0
113858,47, Not in universe,0,0, High school graduate,,0,, Not in universe, Married-civilian spouse present, Not in universe or children, Not in universe, White, Mexican-American, Male, Not in universe, Not in universe, Not in labor force,0,0,0, Nonfiler, Not in universe, Not in universe, Householder, Householder,2717.83, ?, ?, ?, Not in universe under 1 year old, ?,0, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,0,95,0
101272,24, Private,33,42, 11th grade,,0,, Not in universe, Married-civilian spouse present, Retail trade, Handlers equip cleaners etc , White, All other, Male, Not in universe, Job loser - on layoff, Unemployed full-time,0,1740,0, Joint both under 65, Not in universe, Not in universe, Householder, Householder,1456.8, ?, ?, ?, Not in universe under 1 year old, ?,4, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,12,95,0
46625,28, Private,35,23, High school graduate,,1200,, Not in universe, Never married, Finance insurance and real estate, Adm support including clerical, Other, Puerto Rican, Female, Yes, Not in universe, Full-time schedules,0,0,0, Head of household, Not in universe, Not in universe, Householder, Householder,351.72, ?, ?, ?, Not in universe under 1 year old, ?,3, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,95,0
59155,10, Not in universe,0,0, Children,,0,, Not in universe, Never married, Not in universe or children, Not in universe, White, All other, Female, Not in universe, Not in universe, Children or Armed Forces,0,0,0, Nonfiler, Not in universe, Not in universe, Child <18 never marr not in subfamily, Child under 18 never married,1682.4, ?, ?, ?, Not in universe under 1 year old, ?,0, Both parents present, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,0,0,95,0
70680,31, Not in universe,0,0, High school graduate,,0,, Not in universe, Married-A F spouse present, Not in universe or children, Not in universe, White, All other, Female, Not in universe, Not in universe, Not in labor force,0,0,0, Joint both under 65, Not in universe, Not in universe, Spouse of householder, Spouse of householder,282.75, ?, ?, ?, Not in universe under 1 year old, ?,0, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,0,95,0
139823,26, Private,35,3, Bachelors degree(BA AB BS),,0,, Not in universe, Married-civilian spouse present, Finance insurance and real estate, Executive admin and managerial, White, All other, Male, Not in universe, Not in universe, Full-time schedules,0,0,0, Joint both under 65, Not in universe, Not in universe, Householder, Householder,3523.45, ?, ?, ?, Not in universe under 1 year old, ?,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,95,1
8447,47, Private,4,40, 11th grade,,0,, Not in universe, Married-civilian spouse present, Construction, Handlers equip cleaners etc , Black, All other, Male, Not in universe, Not in universe, Full-time schedules,0,0,0, Joint both under 65, Not in universe, Not in universe, Householder, Householder,1370.62, ?, ?, ?, Not in universe under 1 year old, ?,4, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,95,0
61752,61, Not in universe,0,0, 7th and 8th grade,,0,, Not in universe, Never married, Not in universe or children, Not in universe, Black, All other, Male, Not in universe, Not in universe, Not in labor force,0,0,0, Nonfiler, Not in universe, Not in universe, Nonfamily householder, Householder,2165.22, ?, ?, ?, Not in universe under 1 year old, ?,0, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,0,95,0
122458,41, State government,43,10, Bachelors degree(BA AB BS),,0,, Not in universe, Married-civilian spouse present, Education, Professional specialty, White, All other, Female, Not in universe, Not in universe, Full-time schedules,0,0,200, Joint both under 65, Not in universe, Not in universe, Spouse of householder, Spouse of householder,1563.98, ?, ?, ?, Not in universe under 1 year old, ?,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,95,0
162149,51, Private,24,17, High school graduate,,0,, Not in universe, Divorced, Manufacturing-nondurable goods, Sales, White, All other, Male, Not in universe, Not in universe, Full-time schedules,0,0,0, Single, Not in universe, Not in universe, Nonfamily householder, Householder,3005.08, ?, ?, ?, Not in universe under 1 year old, ?,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,95,0
81935,2, Not in universe,0,0, Children,,0,, Not in universe, Never married, Not in universe or children, Not in universe, White, All other, Male, Not in universe, Not in universe, Children or Armed Forces,0,0,0, Nonfiler, Not in universe, Not in universe, Child <18 never marr not in subfamily, Child under 18 never married,1094.01, ?, ?, ?, Not in universe under 1 year old, ?,0, Father only present, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,0,0,95,0
194460,43, Not in universe,0,0, Bachelors degree(BA AB BS),,0,, Not in universe, Divorced, Not in universe or children, Not in universe, White, All other, Female, Not in universe, Not in universe, Not in labor force,0,0,0, Single, Not in universe, Not in universe, Nonfamily householder, Householder,939.23, ?, ?, ?, Not in universe under 1 year old, ?,0, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,0,95,0
124613,32, Private,42,2, Masters degree(MA MS MEng MEd MSW MBA),,0,, Not in universe, Married-civilian spouse present, Medical except hospital, Executive admin and managerial, White, All other, Female, Not in universe, Not in universe, Full-time schedules,0,0,0, Joint both under 65, Not in universe, Not in universe, Spouse of householder, Spouse of householder,1966.16, ?, ?, ?, Not in universe under 1 year old, ?,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,28,95,0
319,25, Private,24,23, High school graduate,,0,, Not in universe, Married-civilian spouse present, Manufacturing-nondurable goods, Adm support including clerical, White, Mexican-American, Female, No, Not in universe, Full-time schedules,0,0,0, Joint both under 65, Not in universe, Not in universe, Spouse of householder, Spouse of householder,2848.73, ?, ?, ?, Not in universe under 1 year old, ?,5, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,44,95,0
21470,84, Not in universe,0,0, 9th grade,,0,, Not in universe, Widowed, Not in universe or children, Not in universe, White, All other, Female, Not in universe, Not in universe, Not in labor force,0,0,0, Nonfiler, Not in universe, Not in universe, Nonfamily householder, Householder,1005.12, ?, ?, ?, Not in universe under 1 year old, ?,0, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,0,95,0
26233,59, Not in universe,0,0, Some college but no degree,,0,, Not in universe, Married-civilian spouse present, Not in universe or children, Not in universe, White, All other, Male, Not in universe, Not in universe, Not in labor force,0,0,0, Joint both under 65, Not in universe, Not in universe, Householder, Householder,1660.1, ?, ?, ?, Not in universe under 1 year old, ?,0, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,0,95,0
130163,7, Not in universe,0,0, Children,,0,, Not in universe, Never married, Not in universe or children, Not in universe, White, All other, Male, Not in universe, Not in universe, Children or Armed Forces,0,0,0, Nonfiler, Not in universe, Not in universe, Child <18 never marr not in subfamily, Child under 18 never married,414.92, ?, ?, ?, Not in universe under 1 year old, ?,0, Both parents present, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,0,0,95,0
53310,28, Not in universe,0,0, 10th grade,,0,, Not in universe, Never married, Not in universe or children, Not in universe, Black, All other, Female, Not in universe, Not in universe, Not in labor force,0,0,0, Nonfiler, Not in universe, Not in universe, Other Rel 18+ never marr RP of subfamily, Other relative of householder,1464.21, ?, ?, ?, Not in universe under 1 year old, ?,0, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,0,95,0
137229,78, Not in universe,0,0, High school graduate,,0,, Not in universe, Widowed, Not in universe or children, Not in universe, White, All other, Female, Not in universe, Not in universe, Not in labor force,0,0,0, Single, Not in universe, Not in universe, Nonfamily householder, Householder,327.51, ?, ?, ?, Not in universe under 1 year old, ?,0, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,0,95,0
96571,0, Not in universe,0,0, Children,,0,, Not in universe, Never married, Not in universe or children, Not in universe, White, Central or South American, Female, Not in universe, Not in universe, Children or Armed Forces,0,0,0, Nonfiler, Not in universe, Not in universe, Child <18 never marr not in subfamily, Child under 18 never married,1440.94, ?, ?, ?, Not in universe under 1 year old, ?,0, Mother only present, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,0,0,95,0
11002,11, Not in universe,0,0, Children,,0,, Not in universe, Never married, Not in universe or children, Not in universe, White, All other, Male, Not in universe, Not in universe, Children or Armed Forces,0,0,0, Nonfiler, Not in universe, Not in universe, Child <18 never marr not in subfamily, Child under 18 never married,569.81, ?, ?, ?, Not in universe under 1 year old, ?,0, Both parents present, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,0,0,95,0
43291,51, Private,41,21, High school graduate,,0,, Not in universe, Never married, Hospital services, Adm support including clerical, White, All other, Female, Not in universe, Not in universe, Full-time schedules,0,0,25, Single, Not in universe, Not in universe, Other Rel 18+ never marr not in subfamily, Other relative of householder,1114.24, ?, ?, ?, Not in universe under 1 year old, ?,5, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,95,0
41994,40, Private,41,7, Prof school degree (MD DDS DVM LLB JD),,0,, Not in universe, Married-civilian spouse present, Hospital services, Professional specialty, White, All other, Male, Not in universe, Not in universe, Full-time schedules,0,0,0, Joint both under 65, Not in universe, Not in universe, Householder, Householder,1558.74, ?, ?, ?, Not in universe under 1 year old, ?,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,1, Not in universe,2,52,95,1
53019,12, Not in universe,0,0, Children,,0,, Not in universe, Never married, Not in universe or children, Not in universe, White, All other, Female, Not in universe, Not in universe, Children or Armed Forces,0,0,0, Nonfiler, Not in universe, Not in universe, Child <18 never marr not in subfamily, Child under 18 never married,463.99, ?, ?, ?, Not in universe under 1 year old, ?,0, Both parents present, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,0,0,95,0
127399,32, Not in universe,0,0, High school graduate,,0,, Not in universe, Never married, Not in universe or children, Not in universe, Amer Indian Aleut or Eskimo, All other, Male, Not in universe, Not in universe, Not in labor force,0,0,0, Nonfiler, Not in universe, Not in universe, Secondary individual, Nonrelative of householder,203.09, ?, ?, ?, Not in universe under 1 year old, ?,0, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,0,95,0
6459,61, Private,7,38, 7th and 8th grade,,0,, Not in universe, Married-civilian spouse present, Manufacturing-durable goods, Transportation and material moving, White, All other, Male, Not in universe, Not in universe, Full-time schedules,0,0,0, Joint both under 65, Not in universe, Not in universe, Householder, Householder,1922.81, ?, ?, ?, Not in universe under 1 year old, ?,4, Not in universe, United-States, United-States, United-States, Native- Born in the United States,1, Not in universe,2,52,95,0
176156,6, Not in universe,0,0, Children,,0,, Not in universe, Never married, Not in universe or children, Not in universe, White, All other, Female, Not in universe, Not in universe, Children or Armed Forces,0,0,0, Nonfiler, Not in universe, Not in universe, Child <18 never marr not in subfamily, Child under 18 never married,2117.1, ?, ?, ?, Not in universe under 1 year old, ?,0, Both parents present, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,0,0,95,0
94358,29, Private,33,19, High school graduate,,0,, Not in universe, Never married, Retail trade, Sales, White, All other, Male, Not in universe, Not in universe, Full-time schedules,0,0,0, Single, Not in universe, Not in universe, Other Rel 18+ never marr not in subfamily, Other relative of householder,4409.84, ?, ?, ?, Not in universe under 1 year old, ?,4, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,40,95,0
10645,75, Not in universe,0,0, High school graduate,,0,, Not in universe, Married-civilian spouse present, Not in universe or children, Not in universe, White, Other Spanish, Male, Not in universe, Not in universe, Not in labor force,0,0,0, Joint both 65+, Not in universe, Not in universe, Householder, Householder,778.96, ?, ?, ?, Not in universe under 1 year old, ?,0, Not in universe, ?, France, United-States, Native- Born in the United States,0, Not in universe,2,0,95,0
63677,74, Not in universe,0,0, 7th and 8th grade,,0,, Not in universe, Widowed, Not in universe or children, Not in universe, White, All other, Female, Not in universe, Not in universe, Not in labor force,0,0,0, Nonfiler, Not in universe, Not in universe, Nonfamily householder, Householder,1902.56, ?, ?, ?, Not in universe under 1 year old, ?,0, Not in universe, England, United-States, United-States, Native- Born in the United States,0, Not in universe,2,0,95,0
32128,29, Private,41,8, Bachelors degree(BA AB BS),,0,, Not in universe, Never married, Hospital services, Professional specialty, White, All other, Female, Not in universe, Not in universe, Full-time schedules,0,0,0, Single, Not in universe, Not in universe, Secondary individual, Nonrelative of householder,1060.49, ?, ?, ?, Not in universe under 1 year old, ?,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,95,0
185232,22, Private,4,34, High school graduate,,0,, Not in universe, Married-civilian spouse present, Construction, Precision production craft & repair, White, All other, Male, Not in universe, Not in universe, Full-time schedules,0,0,0, Joint both under 65, Not in universe, Not in universe, Householder, Householder,1078.69, ?, ?, ?, Not in universe under 1 year old, ?,1, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,45,95,0
82610,43, Not in universe,0,0, 9th grade,,0,, Not in universe, Separated, Not in universe or children, Not in universe, White, Other Spanish, Female, Not in universe, Not in universe, Not in labor force,0,0,0, Nonfiler, Not in universe, Not in universe, Householder, Householder,766.13, ?, ?, ?, Not in universe under 1 year old, ?,1, Not in universe, Dominican-Republic, Dominican-Republic, Dominican-Republic, Foreign born- U S citizen by naturalization,0, Not in universe,2,10,95,0
106032,8, Not in universe,0,0, Children,,0,, Not in universe, Never married, Not in universe or children, Not in universe, White, All other, Female, Not in universe, Not in universe, Children or Armed Forces,0,0,0, Nonfiler, Not in universe, Not in universe, Child <18 never marr not in subfamily, Child under 18 never married,1146.73, ?, ?, ?, Not in universe under 1 year old, ?,0, Mother only present, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,0,0,95,0
190885,58, Not in universe,0,0, Some college but no degree,,0,, Not in universe, Married-civilian spouse present, Not in universe or children, Not in universe, White, All other, Male, Not in universe, Not in universe, Not in labor force,0,0,175, Joint both under 65, Not in universe, Not in universe, Householder, Householder,1333.65, ?, ?, ?, Not in universe under 1 year old, ?,0, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,0,95,0
98901,42, Self-employed-incorporated,32,2, Some college but no degree,,0,, Not in universe, Married-civilian spouse present, Wholesale trade, Executive admin and managerial, White, All other, Male, Not in universe, Not in universe, Full-time schedules,0,0,0, Joint both under 65, Not in universe, Not in universe, Spouse of householder, Spouse of householder,3272.28, ?, ?, ?, Not in universe under 1 year old, ?,2, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,95,1
188436,39, Private,35,26, Some college but no degree,,0,, Not in universe, Married-civilian spouse present, Finance insurance and real estate, Adm support including clerical, White, All other, Female, Not in universe, Not in universe, Full-time schedules,0,0,0, Joint both under 65, Not in universe, Not in universe, Spouse of householder, Spouse of householder,1609.14, ?, ?, ?, Not in universe under 1 year old, ?,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,38,95,0
195691,8, Not in universe,0,0, Children,,0,, Not in universe, Never married, Not in universe or children, Not in universe, White, Mexican-American, Male, Not in universe, Not in universe, Children or Armed Forces,0,0,0, Nonfiler, Not in universe, Not in universe, Child <18 never marr not in subfamily, Child under 18 never married,462.9, ?, ?, ?, Not in universe under 1 year old, ?,0, Both parents present, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,0,0,95,0
175673,66, Not in universe,0,0, 7th and 8th grade,,0,, Not in universe, Married-civilian spouse present, Not in universe or children, Not in universe, White, All other, Male, Not in universe, Not in universe, Not in labor force,0,0,0, Joint one under 65 & one 65+, Not in universe, Not in universe, Householder, Householder,528.79, ?, ?, ?, Not in universe under 1 year old, ?,0, Not in universe, ?, ?, United-States, Native- Born in the United States,0, Not in universe,2,0,95,0
154649,1, Not in universe,0,0, Children,,0,, Not in universe, Never married, Not in universe or children, Not in universe, White, All other, Female, Not in universe, Not in universe, Children or Armed Forces,0,0,0, Nonfiler, Not in universe, Not in universe, Child <18 never marr not in subfamily, Child under 18 never married,1048.57, ?, ?, ?, Not in universe under 1 year old, ?,0, Both parents present, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,0,0,95,0
160130,80, Not in universe,0,0, High school graduate,,0,, Not in universe, Married-civilian spouse present, Not in universe or children, Not in universe, White, All other, Male, Not in universe, Not in universe, Not in labor force,0,0,0, Joint both 65+, Not in universe, Not in universe, Householder, Householder,907.96, ?, ?, ?, Not in universe under 1 year old, ?,0, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,0,95,0
172696,23, Not in universe,0,0, Some college but no degree,,0,, Not in universe, Married-civilian spouse present, Not in universe or children, Not in universe, White, All other, Male, Not in universe, Not in universe, Children or Armed Forces,0,0,0, Joint both under 65, Not in universe, Not in universe, Spouse of householder, Spouse of householder,2030.1, ?, ?, ?, Not in universe under 1 year old, ?,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,95,0
121704,67, Not in universe,0,0, High school graduate,,0,, Not in universe, Married-civilian spouse present, Not in universe or children, Not in universe, White, All other, Female, Not in universe, Not in universe, Not in labor force,0,0,0, Joint both 65+, Not in universe, Not in universe, Spouse of householder, Spouse of householder,2435.79, ?, ?, ?, Not in universe under 1 year old, ?,0, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,0,95,0
17069,34, Private,41,8, Masters degree(MA MS MEng MEd MSW MBA),,0,, Not in universe, Married-civilian spouse present, Hospital services, Professional specialty, White, All other, Female, Not in universe, Not in universe, Full-time schedules,0,0,0, Joint both under 65, Not in universe, Not in universe, Spouse of householder, Spouse of householder,1225.45, ?, ?, ?, Not in universe under 1 year old, ?,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,95,0
42710,37, Private,3,2, Bachelors degree(BA AB BS),,0,, Not in universe, Married-civilian spouse present, Mining, Executive admin and managerial, White, All other, Male, No, Not in universe, Full-time schedules,0,1672,0, Joint both under 65, Not in universe, Not in universe, Householder, Householder,541.06, ?, ?, ?, Not in universe under 1 year old, ?,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,39,95,0
78180,36, Private,11,14, Bachelors degree(BA AB BS),,0,, Not in universe, Married-civilian spouse present, Manufacturing-durable goods, Technicians and related support, White, All other, Male, Not in universe, Not in universe, Full-time schedules,0,0,0, Joint both under 65, Not in universe, Not in universe, Householder, Householder,701.89, ?, ?, ?, Not in universe under 1 year old, ?,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,95,0
113581,40, Private,27,36, High school graduate,,0,, Not in universe, Separated, Manufacturing-nondurable goods, Machine operators assmblrs & inspctrs, White, All other, Male, Not in universe, Not in universe, Full-time schedules,0,0,0, Single, Not in universe, Not in universe, Child 18+ ever marr Not in a subfamily, Child 18 or older,2865.77, ?, ?, ?, Not in universe under 1 year old, ?,4, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,95,0
138929,13, Not in universe,0,0, Children,,0,, Not in universe, Never married, Not in universe or children, Not in universe, White, All other, Male, Not in universe, Not in universe, Children or Armed Forces,0,0,0, Nonfiler, Not in universe, Not in universe, Child <18 never marr not in subfamily, Child under 18 never married,2473.84, ?, ?, ?, Not in universe under 1 year old, ?,0, Both parents present, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,0,0,95,0
38360,30, Private,42,8, Associates degree-academic program,,0,, Not in universe, Married-civilian spouse present, Medical except hospital, Professional specialty, White, All other, Female, Not in universe, Not in universe, Full-time schedules,0,0,0, Joint both under 65, Not in universe, Not in universe, Spouse of householder, Spouse of householder,1857.08, ?, ?, ?, Not in universe under 1 year old, ?,1, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,26,95,0
90483,18, Private,33,29, 11th grade,,450,, High school, Never married, Retail trade, Other service, White, All other, Female, No, Not in universe, Full-time schedules,0,0,0, Single, Not in universe, Not in universe, Child 18+ never marr Not in a subfamily, Child 18 or older,1671, ?, ?, ?, Not in universe under 1 year old, ?,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,95,0
